"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"346","RT @CDCFlu: Question: When will flu season end? Answer:  influenza-like-illness has peaked and is declining, but some activity will likely…",FALSE,0,NA,2018-03-08 16:23:30,FALSE,NA,"971783476767686657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drcummings11",44,TRUE,FALSE,NA,NA
"347","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 16:22:41,FALSE,NA,"971783271116918784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hendricks_Co",350,TRUE,FALSE,NA,NA
"348","#NIH Fauci: Cell-based is better, but recombinant is the way of the future
#CDC #FDA #NIH #BARDA #pharma #vaccines #influenza #H3N2 #flu",FALSE,0,"DonnaYoungDC",2018-03-08 16:22:13,FALSE,"971782932494016515","971783152443289602","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"349","#NIH Fauci: We can do better with #flu vaccines that we have.
Consistently not effective
#CDC #FDA #NIH #BARDA… https://t.co/32bee7ZATw",FALSE,0,"DonnaYoungDC",2018-03-08 16:21:20,TRUE,"971782642034192387","971782932494016515","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"350","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 16:21:02,FALSE,NA,"971782857394937857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ele_bege",350,TRUE,FALSE,NA,NA
"351","No surprise: #NIH Fauci comes prepared w/ #flu slides.
#CDC #FDA #NIH #BARDA #pharma #vaccines #influenza #H3N2",FALSE,0,"DonnaYoungDC",2018-03-08 16:20:11,FALSE,"971782225334333440","971782642034192387","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"352","RT @usmint: #OTD in 1918: first report of influenza at Camp Funston (Ft. Riley) Kansas. “Spanish flu” spreads through contact or close prox…",FALSE,0,NA,2018-03-08 16:19:37,FALSE,NA,"971782498844889089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmellsOfSilver",9,TRUE,FALSE,NA,NA
"353",".@CDCDirector: Hospitalizations broken records; #influenza illnesses at peak about as high as 2009
Too many childre… https://t.co/1fySV9dN7e",FALSE,0,"DonnaYoungDC",2018-03-08 16:18:32,TRUE,"971781492463558657","971782225334333440","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"354",".@CDCDirector: #Flu is a formidable adversary. Virus every changing &amp; w/ us every year &amp; outsmart our immune system… https://t.co/6hDTAmV5qx",FALSE,0,"DonnaYoungDC",2018-03-08 16:15:37,TRUE,"971780893063962626","971781492463558657","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"355","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help st… https://t.co/JFRI8oYxob",FALSE,0,NA,2018-03-08 16:15:18,TRUE,NA,"971781414189436929",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","OurUrgentCares",0,FALSE,FALSE,NA,NA
