"","lon","lat"
"1244",NA,NA
"1245",-119.4179324,36.778261
"1246",NA,NA
"1247",-81.0348144,34.0007104
"1248",-95.6890185,39.0558235
"1249",-97.0544341,28.0205733
"1250",-96.8928309,33.0806083
"1251",NA,NA
"1252",NA,NA
"1253",-95.9979883,41.2523634
"1254",-104.990251,39.7392358
"1255",NA,NA
"1256",NA,NA
"1257",-79.3831843,43.653226
"1258",-77.0368707,38.9071923
"1259",-76.8867008,40.2731911
"1260",-74.0059728,40.7127753
"1261",-117.0430865,34.033625
"1262",46.6752957,24.7135517
"1263",39.8579118,21.3890824
"1264",-104.779397,38.806646
"1265",-87.2550353,41.5322592
"1266",-71.3824374,42.4072107
"1267",NA,NA
"1268",-76.6121893,39.2903848
"1269",-159.4852778,22.2236111
"1270",-76.6121893,39.2903848
"1271",-77.0368707,38.9071923
"1272",-96.84995,32.977735
"1273",-76.6121893,39.2903848
"1274",-79.6441198,43.5890452
"1275",-71.1895617,41.748162
"1276",NA,NA
"1277",-76.6121893,39.2903848
"1278",-95.712891,37.09024
"1279",NA,NA
"1280",-79.7624177,43.7315479
"1281",-94.6858998,46.729553
"1282",-83.7430378,42.2808256
"1283",-95.712891,37.09024
"1284",-95.712891,37.09024
"1285",-95.712891,37.09024
"1286",-74.0059728,40.7127753
"1287",-74.0059728,40.7127753
"1288",-95.712891,37.09024
"1289",NA,NA
"1290",-74.511172,40.3025907
"1291",-84.5120196,39.1031182
"1292",NA,NA
"1293",-84.3879824,33.7489954
"1294",-76.7680263,40.2689785
"1295",-84.5120196,39.1031182
"1296",-95.712891,37.09024
"1297",-76.8867008,40.2731911
"1298",-92.9593797,44.9238552
"1299",NA,NA
"1300",-77.026088,38.9906657
"1301",-95.712891,37.09024
"1302",-77.0368707,38.9071923
"1303",NA,NA
"1304",-75.3201878,39.9306677
"1305",-108.5006904,45.7832856
"1306",-95.674149,35.8203784
"1307",-77.1945247,41.2033216
"1308",NA,NA
"1309",-77.1945247,41.2033216
"1310",-74.0059728,40.7127753
"1311",-77.0368707,38.9071923
"1312",NA,NA
"1313",NA,NA
"1314",NA,NA
"1315",-73.8205567,45.4895636
"1316",-79.3831843,43.653226
"1317",-74.0059728,40.7127753
"1318",-95.9979883,41.2523634
"1319",-79.0192997,35.7595731
"1320",-73.8370786,40.9125992
"1321",-79.3831843,43.653226
"1322",-77.0368707,38.9071923
"1323",-80.0684479,26.6167555
"1324",-77.1527578,39.0839973
"1325",NA,NA
"1326",-87.2169663,30.4213998
"1327",-73.9441579,40.6781784
"1328",-73.9441579,40.6781784
"1329",NA,NA
"1330",-87.8486613,41.4958665
"1331",-94.513281,37.0842271
"1332",NA,NA
"1333",-83.9811014,34.1140497
"1334",-114.7420408,44.0682019
"1335",36.8219462,-1.2920659
"1336",-117.1610838,32.715738
"1337",-95.3698028,29.7604267
"1338",-94.5785667,39.0997265
"1339",-74.0059728,40.7127753
"1340",-104.990251,39.7392358
"1341",-77.026088,38.9906657
"1342",-97.1330683,33.2148412
"1343",NA,NA
"1344",-95.6890185,39.0558235
"1345",-78.898619,35.9940329
"1346",-74.3118212,39.9652553
"1347",NA,NA
"1348",-77.0368707,38.9071923
"1349",NA,NA
"1350",-89.9253233,43.4066375
"1351",-79.7848422,43.6766398
"1352",NA,NA
"1353",-121.4943996,38.5815719
"1354",NA,NA
"1355",NA,NA
"1356",NA,NA
"1357",NA,NA
"1358",14.995463,46.151241
"1359",NA,NA
"1360",-116.419389,34.9592083
"1361",NA,NA
"1362",NA,NA
"1363",-88.019826,44.519159
"1364",-87.6297982,41.8781136
"1365",32.8597419,39.9333635
"1366",44.827096,41.7151377
"1367",4.5200498,52.2246479
"1368",-95.4343859,29.0338575
"1369",-99.9018131,41.4925374
"1370",-118.1445155,34.1477849
"1371",-115.1398296,36.1699412
"1372",-79.3831843,43.653226
"1373",-120.8958242,38.8375215
"1374",34.851612,31.046051
"1375",-91.0813786,30.385672
